productName,productPrice,productDescription,productImgPath,productCategory
BioHack:Serum Code:PR3,49.99,Our flagship Stimulant pre workout that will take you to your goals and beyond Formulated with the intricacy of Biohacking in every way. so we will see a greatly increased level of choline in our body and brain,biohack-serum-code-pr3.png,Bubbelgum Crush
BioHack:Serum Code:Pump,39.99,Serum Code Pump is a stimulant-free pump pre-workout just as highly dosed as Biohack’s stimulant pre-workout PR3. The supplement’s primary focus is to enhance muscle pumps while you workout and to help nutrient delivery to your muscles to give you that extra push you really need.,biohack-serum-code-pumk.png,Bubbelgum Crush
Premium Raws: Tudca,34.99,WHAT IS TUDCA? Tauroursodeoxycholic acid more commonly referred to as TUDCA is a bile salt that is found natrually occurring in the body. When regular bile salts reach the intestines they can be metabolized by bacteria into UDCA and then later bound to a taurine molecule to become TUDCA.,premium-raws.jpg,Cherry Cola
TWP: Salvage,44.99,SALVAGE is the first protein in the UK to completely disclose the entire breakdown of protein content offering complete transparency and confidence to you our kick ass customers.,twp-salvage.jpg,Energy Flavour
TWP: Ashwagandha,15.99,TWP Ashwagandha includes Bioperine to increase bioavailability.  Also includes AstraGin The Absorption King!,twp-ashwagandha.jpg,Energy Flavour
TWP: Ashwagandha,18.99,TWP Ashwagandha includes Bioperine to increase bioavailability.  Also includes AstraGin The Absorption King!,twp-ashwagandha.jpg,Energy Flavour
TWP: Greed,15.99,GREED is the most inclusive and up to date Digestive aid and appetite enhancer on the market.  Whether you’re on “off season” looking to put those influx of calories to good use or an every day individual that suffers with digestive issues.,twp-greed.jpg,Energy Flavour
MaxxMuscle: Atomic Bomb,49.99,Atomic Bomb delivers the explosive ingredients necessary for combat in the weight room directly to your body. A ferocious blend of performance-enhancing ingredients ensure you buffer lactic acid build-up sustain endurance and crush PR’s as you approach your workouts with maximum intensity.,maxxmuscle-atomic-bomb.png,Fruit Punch
MaxxMuscle: EAAmmo,39.99,A powerful combination of Essential Amino Acids & BCAAs designed to amplify training efforts and sustain workout intensity. Further fortified with the powerful Adaptogen Ashwagandah to help fight off Cortisol and reduce inflammation.,maxxmuscle-eaammo.png,Icy Blue Raz
OHS: Unleash Hell,29.99,Our pre workout formulation truly is at the very top of the game no BS.  We have chosen the best ingredients at clinical doses.  Time to get your game face on and UNLEASH HELL!!,ohs-unleash-hell.png,
